tool,group,depth_nm
ETCH-03,after,496.07548285371655
ETCH-03,after,497.2135327499624
ETCH-03,after,496.07826909460385
ETCH-03,after,497.21153468028416
ETCH-03,after,499.8088200699547
ETCH-03,after,494.4389824152841
ETCH-03,after,492.07969144612804
ETCH-03,after,496.13773709351926
ETCH-03,after,493.9112662356893
ETCH-03,after,494.8816280151185
ETCH-03,after,506.4265936708377
ETCH-03,after,499.6307845939887
ETCH-03,after,500.5197725553963
ETCH-03,after,495.4581296264674
ETCH-03,after,502.878484925845
ETCH-03,after,501.1621464606291
ETCH-03,after,496.7961541330851
ETCH-03,after,499.253068715609
ETCH-03,after,496.53147339451
ETCH-03,after,493.12492056786544
ETCH-03,after,501.6987251128853
ETCH-03,after,498.08540037796735
ETCH-03,after,501.12662606157016
ETCH-03,after,500.09307006824093
ETCH-03,after,495.56805726325
ETCH-03,after,500.12206433922364
ETCH-03,after,496.0563533140283
ETCH-03,after,496.3646476569399
ETCH-03,after,495.5181278341804
ETCH-03,after,504.0410479122891
ETCH-03,after,491.72202382261094
ETCH-03,after,500.9625207091013
ETCH-03,after,498.5780666847617
ETCH-03,after,503.6706770677268
ETCH-03,after,498.535647337964
ETCH-03,after,502.41772068820063
ETCH-04,before,489.68778599902004
ETCH-04,before,493.68454831700757
ETCH-04,before,501.14337527155493
ETCH-04,before,499.4869041462685
ETCH-04,before,492.71031003774306
ETCH-04,before,490.3396429601181
ETCH-04,before,493.00905871021047
ETCH-04,before,493.69508048035823
ETCH-04,before,497.7507444357974
ETCH-04,before,498.3432662589015
ETCH-04,before,495.7971219574685
ETCH-04,before,495.768780799957
ETCH-04,before,501.4779039509855
ETCH-04,before,486.61822363541086
ETCH-04,before,494.6626488680724
ETCH-04,before,499.7888090572594
ETCH-04,before,490.69923526816876
ETCH-04,before,495.5630710641151
ETCH-04,before,497.0400216540349
ETCH-04,before,500.97759111911995
ETCH-04,before,499.90603750831906
ETCH-04,before,494.2004255478726
ETCH-04,before,494.70750013754554
ETCH-04,before,496.689107337787
ETCH-04,before,497.78546168468876
ETCH-04,before,492.93372263068756
ETCH-04,before,494.1904394494494
ETCH-04,before,497.1806653792411
ETCH-04,before,491.80854804459926
ETCH-04,before,493.82870009736155
ETCH-04,before,496.12467340396944
ETCH-04,before,500.77703603952557
ETCH-04,before,495.69223185094904
ETCH-04,before,495.81933174781864
ETCH-04,before,496.3066549169637
ETCH-04,before,494.4692135727224
ETCH-04,before,493.09727905085754
ETCH-04,before,498.80075583369546
ETCH-04,before,502.20641241298347
ETCH-04,before,493.3322037579889
ETCH-04,before,502.3907974057121
ETCH-04,before,494.1751766314482
ETCH-04,before,493.69636127442095
ETCH-04,before,494.1653130846462
ETCH-04,before,491.217825228994
ETCH-04,before,491.5613699172613
ETCH-04,before,491.1835916369279
ETCH-04,before,494.1606357417975
ETCH-04,before,496.1760884221061
ETCH-04,before,494.28971672437405
ETCH-04,before,497.8057002790008
ETCH-04,before,495.4266828539031
ETCH-04,before,494.3199784072675
ETCH-04,before,491.6072870316235
ETCH-04,before,495.0011417780088
ETCH-04,before,495.99126824877044
ETCH-04,before,492.22415492160934
ETCH-04,before,495.66151416986537
ETCH-04,before,497.4212736343203
ETCH-04,before,497.4446090864256
ETCH-04,after,503.0103178729342
ETCH-04,after,503.59620731486314
ETCH-04,after,504.28799335834344
ETCH-04,after,500.8563876787292
ETCH-04,after,499.14506206757443
ETCH-04,after,502.560214745248
ETCH-04,after,500.6979656390198
ETCH-04,after,504.5448461897607
ETCH-04,after,500.5309630631755
ETCH-04,after,502.24017127711284
ETCH-04,after,500.07706901198884
ETCH-04,after,501.73610741782073
ETCH-04,after,501.6487318783651
ETCH-04,after,494.30361505870354
ETCH-04,after,494.1132303989968
ETCH-04,after,503.59786409362925
ETCH-04,after,501.28217356341634
ETCH-04,after,502.4662264099696
ETCH-04,after,499.43372721239547
ETCH-04,after,495.1674856689905
ETCH-04,after,504.12037402839786
ETCH-04,after,495.4562233228535
ETCH-04,after,496.30483776665477
ETCH-04,after,501.1780075061398
ETCH-04,after,501.71380442599246
ETCH-04,after,509.5092101840977
ETCH-04,after,499.18779179384364
ETCH-04,after,497.36073206658386
ETCH-04,after,500.39418166308025
ETCH-04,after,502.2500569206006
ETCH-04,after,506.42211220662267
ETCH-04,after,500.8700229019101
ETCH-04,after,498.0162805179074
ETCH-04,after,497.20697870131903
ETCH-04,after,496.8693012875225
ETCH-04,after,498.75998343552425
ETCH-04,after,494.2463814094887
ETCH-04,after,502.8004511187395
ETCH-04,after,494.2325228302236
ETCH-04,after,497.25466520812336
ETCH-04,after,502.500273679228
ETCH-04,after,496.0191036630888
ETCH-04,after,500.86753008102596
ETCH-04,after,505.21720274126864
ETCH-04,after,502.2965052080673
ETCH-04,after,494.3128749423004
ETCH-04,after,503.2960873844721
ETCH-04,after,497.6181552996143
ETCH-04,after,507.8065061613138
ETCH-04,after,493.92860417143845
ETCH-04,after,496.22816829067585
ETCH-04,after,492.8633035269515
ETCH-04,after,499.99772229196276
ETCH-04,after,501.4222247579615
ETCH-04,after,500.0377395611587
ETCH-04,after,499.56948915828855
ETCH-04,after,502.2198755422776
ETCH-04,after,499.7278274132122
ETCH-04,after,498.5811665623796
ETCH-04,after,498.29768239337244
