seed,scenario,baseline_signals,xbar_delay_lots,xbar_predrift_alarms,xbar_stable_alarms,r_delay_lots,r_predrift_alarms,r_stable_alarms,ewma_delay_lots,ewma_predrift_alarms,ewma_stable_alarms,cusum_delay_lots,cusum_predrift_alarms,cusum_stable_alarms
14,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
14,sensor_bias,0,,0,,,0,,,0,,,0,
15,stable,0,53.0,1,2.0,19,0,2.0,,0,0.0,59.0,0,1.0
15,wall_drift,0,11.0,1,,19,0,,6.0,0,,8.0,0,
15,rf_loss,0,0.0,1,,19,0,,0.0,0,,0.0,0,
15,vacuum_leak,0,7.0,1,,19,0,,7.0,0,,7.0,0,
15,flow_restriction,0,0.0,1,,19,0,,0.0,0,,0.0,0,
15,sensor_bias,0,53.0,1,,19,0,,,0,,59.0,0,
16,stable,0,,0,0.0,5,0,1.0,,0,0.0,,0,0.0
16,wall_drift,0,7.0,0,,5,0,,7.0,0,,7.0,0,
16,rf_loss,0,0.0,0,,5,0,,0.0,0,,0.0,0,
16,vacuum_leak,0,,0,,5,0,,5.0,0,,5.0,0,
16,flow_restriction,0,0.0,0,,5,0,,0.0,0,,0.0,0,
16,sensor_bias,0,,0,,5,0,,,0,,,0,
17,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
17,wall_drift,0,14.0,0,,,0,,11.0,0,,11.0,0,
17,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
17,vacuum_leak,0,10.0,0,,,0,,5.0,0,,5.0,0,
17,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
17,sensor_bias,0,,0,,,0,,,0,,,0,
18,stable,0,,1,1.0,,0,0.0,14.0,0,1.0,13.0,6,13.0
18,wall_drift,0,12.0,1,,,0,,3.0,0,,3.0,6,
18,rf_loss,0,0.0,1,,,0,,0.0,0,,0.0,6,
18,vacuum_leak,0,21.0,1,,,0,,20.0,0,,21.0,6,
18,flow_restriction,0,0.0,1,,,0,,0.0,0,,0.0,6,
18,sensor_bias,0,,1,,,0,,14.0,0,,13.0,6,
19,stable,1,,0,0.0,,1,1.0,,0,0.0,,0,0.0
19,wall_drift,1,11.0,0,,,1,,6.0,0,,7.0,0,
19,rf_loss,1,0.0,0,,,1,,0.0,0,,0.0,0,
19,vacuum_leak,1,34.0,0,,,1,,13.0,0,,9.0,0,
19,flow_restriction,1,0.0,0,,,1,,0.0,0,,0.0,0,
19,sensor_bias,1,,0,,,1,,,0,,,0,
20,stable,0,,1,1.0,,0,0.0,44.0,0,1.0,17.0,0,5.0
20,wall_drift,0,9.0,1,,,0,,9.0,0,,4.0,0,
20,rf_loss,0,0.0,1,,,0,,0.0,0,,0.0,0,
20,vacuum_leak,0,11.0,1,,,0,,6.0,0,,7.0,0,
20,flow_restriction,0,0.0,1,,,0,,0.0,0,,0.0,0,
20,sensor_bias,0,,1,,,0,,44.0,0,,17.0,0,
21,stable,1,37.0,1,4.0,30,2,3.0,12.0,1,14.0,11.0,1,39.0
21,wall_drift,1,7.0,1,,30,2,,6.0,1,,1.0,1,
21,rf_loss,1,0.0,1,,30,2,,0.0,1,,0.0,1,
21,vacuum_leak,1,39.0,1,,30,2,,5.0,1,,5.0,1,
21,flow_restriction,1,0.0,1,,30,2,,0.0,1,,0.0,1,
21,sensor_bias,1,37.0,1,,30,2,,12.0,1,,11.0,1,
22,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
22,wall_drift,0,13.0,0,,,0,,9.0,0,,6.0,0,
22,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
22,vacuum_leak,0,24.0,0,,,0,,7.0,0,,7.0,0,
22,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
22,sensor_bias,0,,0,,,0,,,0,,,0,
23,stable,2,25.0,0,2.0,63,0,1.0,25.0,0,6.0,17.0,0,25.0
23,wall_drift,2,13.0,0,,63,0,,4.0,0,,3.0,0,
23,rf_loss,2,0.0,0,,63,0,,0.0,0,,0.0,0,
23,vacuum_leak,2,8.0,0,,63,0,,8.0,0,,6.0,0,
23,flow_restriction,2,0.0,0,,63,0,,0.0,0,,0.0,0,
23,sensor_bias,2,25.0,0,,63,0,,25.0,0,,17.0,0,
24,stable,2,,2,2.0,,0,0.0,58.0,0,1.0,58.0,0,3.0
24,wall_drift,2,11.0,2,,,0,,6.0,0,,7.0,0,
24,rf_loss,2,0.0,2,,,0,,0.0,0,,0.0,0,
24,vacuum_leak,2,,2,,,0,,15.0,0,,15.0,0,
24,flow_restriction,2,0.0,2,,,0,,0.0,0,,0.0,0,
24,sensor_bias,2,,2,,,0,,58.0,0,,58.0,0,
25,stable,0,48.0,0,1.0,22,0,2.0,48.0,1,5.0,49.0,8,13.0
25,wall_drift,0,6.0,0,,22,0,,7.0,1,,2.0,8,
25,rf_loss,0,0.0,0,,22,0,,0.0,1,,0.0,8,
25,vacuum_leak,0,3.0,0,,22,0,,4.0,1,,4.0,8,
25,flow_restriction,0,0.0,0,,22,0,,0.0,1,,0.0,8,
25,sensor_bias,0,48.0,0,,22,0,,48.0,1,,49.0,8,
26,stable,0,39.0,0,1.0,,1,1.0,,0,0.0,,0,0.0
26,wall_drift,0,9.0,0,,,1,,9.0,0,,9.0,0,
26,rf_loss,0,0.0,0,,,1,,0.0,0,,0.0,0,
26,vacuum_leak,0,5.0,0,,,1,,4.0,0,,4.0,0,
26,flow_restriction,0,0.0,0,,,1,,0.0,0,,0.0,0,
26,sensor_bias,0,39.0,0,,,1,,,0,,,0,
27,stable,0,,0,0.0,55,0,1.0,14.0,0,1.0,13.0,0,9.0
27,wall_drift,0,7.0,0,,55,0,,4.0,0,,3.0,0,
27,rf_loss,0,0.0,0,,55,0,,0.0,0,,0.0,0,
27,vacuum_leak,0,27.0,0,,55,0,,22.0,0,,22.0,0,
27,flow_restriction,0,0.0,0,,55,0,,0.0,0,,0.0,0,
27,sensor_bias,0,,0,,55,0,,14.0,0,,13.0,0,
28,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
28,wall_drift,0,11.0,0,,,0,,9.0,0,,10.0,0,
28,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
28,vacuum_leak,0,5.0,0,,,0,,5.0,0,,5.0,0,
28,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
28,sensor_bias,0,,0,,,0,,,0,,,0,
29,stable,1,39.0,0,1.0,19,0,1.0,2.0,0,2.0,3.0,0,5.0
29,wall_drift,1,12.0,0,,19,0,,10.0,0,,9.0,0,
29,rf_loss,1,0.0,0,,19,0,,0.0,0,,0.0,0,
29,vacuum_leak,1,2.0,0,,19,0,,1.0,0,,1.0,0,
29,flow_restriction,1,0.0,0,,19,0,,0.0,0,,0.0,0,
29,sensor_bias,1,39.0,0,,19,0,,2.0,0,,3.0,0,
30,stable,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0
30,wall_drift,1,12.0,0,,,0,,9.0,0,,10.0,0,
30,rf_loss,1,0.0,0,,,0,,0.0,0,,0.0,0,
30,vacuum_leak,1,15.0,0,,,0,,4.0,0,,2.0,0,
30,flow_restriction,1,0.0,0,,,0,,0.0,0,,0.0,0,
30,sensor_bias,1,,0,,,0,,,0,,,0,
31,stable,0,,0,0.0,,0,0.0,43.0,0,3.0,44.0,0,14.0
31,wall_drift,0,15.0,0,,,0,,14.0,0,,13.0,0,
31,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
31,vacuum_leak,0,28.0,0,,,0,,3.0,0,,5.0,0,
31,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
31,sensor_bias,0,,0,,,0,,43.0,0,,44.0,0,
32,stable,0,8.0,0,1.0,5,1,3.0,8.0,0,1.0,24.0,0,1.0
32,wall_drift,0,10.0,0,,5,1,,10.0,0,,10.0,0,
32,rf_loss,0,0.0,0,,5,1,,0.0,0,,0.0,0,
32,vacuum_leak,0,3.0,0,,5,1,,1.0,0,,3.0,0,
32,flow_restriction,0,0.0,0,,5,1,,0.0,0,,0.0,0,
32,sensor_bias,0,8.0,0,,5,1,,8.0,0,,24.0,0,
33,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
33,wall_drift,0,8.0,0,,,0,,7.0,0,,8.0,0,
33,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
33,vacuum_leak,0,,0,,,0,,4.0,0,,4.0,0,
33,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
33,sensor_bias,0,,0,,,0,,,0,,,0,
34,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
34,wall_drift,0,7.0,0,,,0,,7.0,0,,7.0,0,
34,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
34,vacuum_leak,0,13.0,0,,,0,,10.0,0,,5.0,0,
34,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
34,sensor_bias,0,,0,,,0,,,0,,,0,
35,stable,0,,1,1.0,36,0,3.0,,0,0.0,,0,0.0
35,wall_drift,0,12.0,1,,36,0,,10.0,0,,9.0,0,
35,rf_loss,0,0.0,1,,36,0,,0.0,0,,0.0,0,
35,vacuum_leak,0,27.0,1,,36,0,,3.0,0,,3.0,0,
35,flow_restriction,0,0.0,1,,36,0,,0.0,0,,0.0,0,
35,sensor_bias,0,,1,,36,0,,,0,,,0,
36,stable,0,,0,0.0,34,1,2.0,,0,0.0,,0,0.0
36,wall_drift,0,8.0,0,,34,1,,8.0,0,,8.0,0,
36,rf_loss,0,0.0,0,,34,1,,0.0,0,,0.0,0,
36,vacuum_leak,0,5.0,0,,34,1,,1.0,0,,1.0,0,
36,flow_restriction,0,0.0,0,,34,1,,0.0,0,,0.0,0,
36,sensor_bias,0,,0,,34,1,,,0,,,0,
