tool,depth_nm
ETCH-02,489.16509174137826
ETCH-02,489.80304923115654
ETCH-02,495.2740473647144
ETCH-02,484.53694684000175
ETCH-02,489.18447545404774
ETCH-02,489.8907897720032
ETCH-02,486.62086675865174
ETCH-02,489.83398493588095
ETCH-02,484.84412771882427
ETCH-02,487.5180464313353
ETCH-02,488.4797489221657
ETCH-02,494.37070322246177
ETCH-02,485.9157183468074
ETCH-02,483.5407794952634
ETCH-02,492.6550493041325
ETCH-02,486.4124909773566
ETCH-02,488.5309696120152
ETCH-02,480.5181656439611
ETCH-02,488.81120718422505
ETCH-02,483.19935911008827
ETCH-02,487.3042197144984
ETCH-02,487.33536601103435
ETCH-02,481.23008007042773
ETCH-02,484.6313186792994
ETCH-02,490.1239907154143
ETCH-02,487.82235339293896
ETCH-02,487.97792916179276
ETCH-02,487.8606194671701
ETCH-02,488.0782046836442
ETCH-02,492.85612021564805
ETCH-02,487.5641433617548
ETCH-02,485.8390969631977
ETCH-02,487.09985517057896
ETCH-02,488.6815967654482
ETCH-02,488.1873654754851
ETCH-02,493.3905109272391
ETCH-02,487.166421058985
ETCH-02,484.24930325990545
ETCH-02,487.11246081893717
ETCH-02,486.03753679114146
ETCH-02,490.7959567360091
ETCH-02,479.675545378636
ETCH-02,480.2929241676701
ETCH-02,489.429692082652
ETCH-02,493.5319654657001
ETCH-02,495.9805869429719
ETCH-02,490.4652544990287
ETCH-02,493.9781076089703
ETCH-03,518.738826825259
ETCH-03,506.1034379089734
ETCH-03,511.2103849745949
ETCH-03,511.6970745021351
ETCH-03,512.9586289121518
ETCH-03,509.79641517019473
ETCH-03,510.8555180285537
ETCH-03,519.8164718771869
ETCH-03,511.44680976491816
ETCH-03,513.0161943891577
ETCH-03,510.037235520532
ETCH-03,505.9327621482716
ETCH-03,513.0753418048597
ETCH-03,517.5694872386148
ETCH-03,507.49595393505854
ETCH-03,512.7247315009272
ETCH-03,514.3845630098083
ETCH-03,517.7290134358444
ETCH-03,516.7806674948605
ETCH-03,504.98943953657357
ETCH-03,512.0112228813622
ETCH-03,516.2889459226409
ETCH-03,516.1170823930811
ETCH-03,515.055761096669
ETCH-03,517.9026999816466
ETCH-03,513.4770554611433
ETCH-03,508.02681659785895
ETCH-03,514.5966935033664
ETCH-03,523.049232142627
ETCH-03,516.6814383154219
ETCH-03,511.8758048430977
ETCH-03,516.7853943653334
ETCH-03,508.79029620670195
ETCH-03,515.0441940716275
ETCH-03,516.9406525505076
ETCH-03,516.069611579566
ETCH-03,505.88156260452047
ETCH-03,517.8224028722963
ETCH-03,510.95891539085017
ETCH-03,516.0583752229047
ETCH-03,512.0447114576165
ETCH-03,516.2039814904781
ETCH-03,522.8690710895003
ETCH-03,514.370691097548
ETCH-03,510.29144481652827
ETCH-03,511.5702645645089
ETCH-03,510.592825081079
ETCH-03,519.3472692048931
ETCH-03,517.7081958454283
ETCH-03,511.38078489306304
ETCH-03,513.2716811691338
ETCH-03,513.1908012337132
ETCH-03,519.1533450587311
ETCH-03,511.99251920862554
ETCH-03,513.35266870121
ETCH-03,509.5210725869303
ETCH-03,516.4661530821919
ETCH-03,516.2256930453027
ETCH-03,507.67241570903286
ETCH-03,511.1001039456723
ETCH-04,492.1453087169171
ETCH-04,496.2360723737129
ETCH-04,495.0187023362849
ETCH-04,493.9126503585223
ETCH-04,497.88704100433205
ETCH-04,494.8744056461254
ETCH-04,492.8470192986712
ETCH-04,489.70699345170163
ETCH-04,493.45452864147734
ETCH-04,492.99698574102416
ETCH-04,496.96654715886325
ETCH-04,492.5423479132001
ETCH-04,498.03641578668436
ETCH-04,494.9382182529829
ETCH-04,499.934104511992
ETCH-04,495.1777683294142
ETCH-04,502.07192401136376
ETCH-04,491.9086084003764
ETCH-04,498.90676887862287
ETCH-04,493.2328585199255
ETCH-04,491.6305121900059
ETCH-04,500.70715082628715
ETCH-04,496.1516621642254
ETCH-04,493.5698492872725
ETCH-04,496.842789428581
ETCH-04,495.9922012022478
ETCH-04,495.80620200845505
ETCH-04,493.97557690107766
ETCH-04,493.2682182031934
ETCH-04,493.3305591906321
ETCH-04,494.2312339807799
ETCH-04,495.5485855145164
ETCH-04,494.0082012528411
ETCH-04,503.4351803295632
ETCH-04,498.19668151898196
ETCH-04,490.8852743049668
ETCH-04,489.0099713797744
ETCH-04,495.20234478029363
ETCH-04,491.94451654034066
ETCH-04,495.8765911443884
ETCH-04,495.9219169350571
ETCH-04,500.5706226559079
ETCH-04,493.4152030563
ETCH-04,493.87877468643006
ETCH-04,496.60677257418337
ETCH-04,496.8056597997135
ETCH-04,491.7469327388261
ETCH-04,496.25367064064477
ETCH-04,498.7762765009183
ETCH-04,490.9424184949504
ETCH-04,495.97981983832227
ETCH-04,501.21946401819145
ETCH-04,496.94274751985995
ETCH-04,495.27949858586936
ETCH-04,494.7306820880991
ETCH-04,499.107973411702
ETCH-04,496.58852315451605
ETCH-04,490.67492177121875
ETCH-04,492.31153108902373
ETCH-04,495.5884132758253
